model_key,condition,gravity,attempt,fixed_population_units,risk_set_units,mean_best_so_far_action_quality,mean_best_so_far_distance_px,mean_current_action_quality_risk_set,mean_current_action_distance_px_risk_set
gemini31pro,full,all,1,1183,1183,0.7696955535218325,50.99647410753869,0.7696955535218325,50.99647410753869
gemini31pro,full,all,2,1183,788,0.8481882482150574,33.12228523356386,0.6441118243866805,75.355360399633
gemini31pro,full,all,3,1183,694,0.8783231636568987,27.320586265918188,0.6220347128120045,79.85379242786433
gemini31pro,full,all,4,1183,643,0.8930801038948903,24.171053578587156,0.5812233230409775,88.76307173173372
gemini31pro,full,all,5,1183,599,0.9054010883798284,21.625001169957443,0.5749560487599849,87.43740617249296
gemini31pro,full,all,6,1183,579,0.9126021399565455,20.24813297674636,0.5560096405046979,94.27629469454294
gemini31pro,full,all,7,1183,556,0.9198900815345966,18.75301340176463,0.5308680779511264,98.51729846406246
gemini31pro,full,all,8,1183,542,0.9246440322069996,17.851615144891994,0.5235756641713794,100.57534031423299
gemini31pro,full,downward,1,696,696,0.7080247332227174,62.96989059301965,0.7080247332227174,62.96989059301965
gemini31pro,full,downward,2,696,528,0.7914367810075343,43.94446606393847,0.5918508250309209,85.07647126614685
gemini31pro,full,downward,3,696,476,0.8284458010329743,36.930926736579295,0.5757675894724881,88.53171435248963
gemini31pro,full,downward,4,696,442,0.8472507245387358,32.85261073525021,0.5434225406468124,95.65442611501834
gemini31pro,full,downward,5,696,416,0.8633194816015662,29.52655589825167,0.5356857860951577,94.49827837367346
gemini31pro,full,downward,6,696,402,0.8722665590242341,27.86932180689958,0.520793462796592,100.37438742867583
gemini31pro,full,downward,7,696,391,0.8819517799498269,25.84278152848876,0.49476197730264093,103.93310034878768
gemini31pro,full,downward,8,696,381,0.888356005460655,24.70434066427584,0.4893946585439188,105.54127586900624
gemini31pro,full,upward,1,487,487,0.8578329065571364,33.88456882233499,0.8578329065571364,33.88456882233499
gemini31pro,full,upward,2,487,260,0.929295067879225,17.655677722392838,0.7502418538476038,55.61402756302077
gemini31pro,full,upward,3,487,218,0.9496058010003592,13.585890233926028,0.7230583399203034,60.90566932638919
gemini31pro,full,upward,4,487,201,0.958577533118496,11.763735753048016,0.6643474315893391,73.60894915754568
gemini31pro,full,upward,5,487,183,0.965542358025993,10.332430141429985,0.664226154052703,71.38646171516437
gemini31pro,full,upward,6,487,177,0.9702480626031584,9.356249145562076,0.6359921458078543,80.42638916278337
