model_key,arm,reference,gravity,attempt,outcome,matched_units,base_layouts,mean_arm_minus_retry,ci95_low,ci95_high,eligibility
gemini_robotics_er,full,neither,all,1,best_so_far_action_quality,132,66,0.0,0.0,0.0,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,1,best_so_far_distance_px,132,66,0.0,0.0,0.0,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,2,best_so_far_action_quality,132,66,0.015191963445356184,-0.01830167612757121,0.04955186783182975,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,2,best_so_far_distance_px,132,66,-5.374078507319664,-14.00505215147649,2.1636670665831947,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,3,best_so_far_action_quality,132,66,0.0377773559868365,0.003182506847602955,0.07419778989303992,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,3,best_so_far_distance_px,132,66,-7.976532947641638,-15.329781083964738,-1.061367271056217,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,4,best_so_far_action_quality,132,66,0.03406142252153833,0.0029054805182844048,0.0651735075054856,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,4,best_so_far_distance_px,132,66,-8.614613413723067,-16.62543435295038,-1.5154213613716658,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,5,best_so_far_action_quality,132,66,0.02397810799061747,-0.008784836805479581,0.05678711165365057,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,5,best_so_far_distance_px,132,66,-7.365690926244992,-15.317088757708936,-0.15846664448978626,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,6,best_so_far_action_quality,132,66,0.030431289880674162,-0.0020416693813520357,0.06300203127199432,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,6,best_so_far_distance_px,132,66,-8.755837507994187,-17.198866383742462,-1.3292373142120462,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,7,best_so_far_action_quality,132,66,0.029030465971792697,-0.0042733353146725845,0.06251195090376223,shared_attempt_1_failed
gemini_robotics_er,full,neither,all,7,best_so_far_distance_px,132,66,-8.235873206053201,-16.973999272911964,-0.5444021836441698,shared_attempt_1_failed
