goal_id,environment_id,run_name,gravity,category,internal_subtype,solution_density,success_count,valid_placement_count,density_kind,selection_uses_model_outcomes
0001_Balance_2_downward__goal_0020,021,Balance_2_downward,downward,contact,multi_object_final_contact,0.0550355067785668,341.0,6196.0,paper_saved_solution_density,False
0002_Remove_9_downward__goal_0022,129,Remove_9_downward,downward,orientation,final_orientation,0.0155194449516158,85.0,5477.0,paper_saved_solution_density,False
0003_FallingAlt_4_downward__goal_0048,087,FallingAlt_4_downward,downward,contact,loss_of_contact,0.0111708729830368,54.0,4834.0,paper_saved_solution_density,False
0004_BalanceUnder_8_downward__goal_0093,045,BalanceUnder_8_downward,downward,position,relative_position,0.0525544772019776,287.0,5461.0,paper_saved_solution_density,False
0005_BackUp_6_upward__goal_0001,010,BackUp_6_upward,upward,contact,transient_contact,0.0032997855139415,20.0,6061.0,paper_saved_solution_density,False
0006_FallingAlt_9_downward__goal_0020,097,FallingAlt_9_downward,downward,contact,multi_object_final_contact,0.0008708904855214,4.0,4593.0,paper_saved_solution_density,False
0007_Remove_9_downward__goal_0010,129,Remove_9_downward,downward,contact,final_contact,0.0031038889903231,17.0,5477.0,paper_saved_solution_density,False
0009_Remove_1_upward__goal_0013,118,Remove_1_upward,upward,position,relative_position,0.0162180814354727,94.0,5796.0,paper_saved_solution_density,False
0010_BackUp_7_upward__goal_0005,012,BackUp_7_upward,upward,contact,final_contact,0.0009319664492078,6.0,6438.0,paper_saved_solution_density,False
0011_Prevention_1_upward__goal_0005,102,Prevention_1_upward,upward,position,relative_position,0.0068890500362581,19.0,2758.0,paper_saved_solution_density,False
0012_BalanceUnder_2_downward__goal_0093,035,BalanceUnder_2_downward,downward,contact,multi_object_final_contact,0.0848545636910732,423.0,4985.0,paper_saved_solution_density,False
0013_Falling_6_downward__goal_0001,071,Falling_6_downward,downward,contact,transient_contact,0.0001503533303262,1.0,6651.0,paper_saved_solution_density,False
0015_FallingAlt_4_downward__goal_0007,087,FallingAlt_4_downward,downward,contact,final_contact,0.0004137360364087,2.0,4834.0,paper_saved_solution_density,False
0016_BalanceUnder_5_downward__goal_0151,039,BalanceUnder_5_downward,downward,contact,loss_of_contact,0.2886866059817945,1554.0,5383.0,paper_saved_solution_density,False
0019_BackUp_8_downward__goal_0001,013,BackUp_8_downward,downward,orientation,final_orientation,0.0001600768368817,1.0,6247.0,paper_saved_solution_density,False
0020_Balance_2_downward__goal_0031,021,Balance_2_downward,downward,movement,single_object_movement,0.1426726920593931,884.0,6196.0,paper_saved_solution_density,False
0022_Balance_7_downward__goal_0012,029,Balance_7_downward,downward,contact,multi_object_final_contact,0.0008833922261484,5.0,5660.0,paper_saved_solution_density,False
0026_Prevention_5_downward__goal_0008,109,Prevention_5_downward,downward,contact,multi_object_final_contact,0.001131221719457,3.0,2652.0,paper_saved_solution_density,False
0028_BalanceUnder_2_downward__goal_0084,035,BalanceUnder_2_downward,downward,position,relative_position,0.0507522567703109,253.0,4985.0,paper_saved_solution_density,False
0032_Prevention_7_downward__goal_0016,111,Prevention_7_downward,downward,position,relative_position,0.0117517443995593,32.0,2723.0,paper_saved_solution_density,False
0033_Falling_5_downward__goal_0004,069,Falling_5_downward,downward,movement,single_object_movement,0.0023205221174764,16.0,6895.0,paper_saved_solution_density,False
0034_Balance_4_downward__goal_0036,025,Balance_4_downward,downward,contact,final_contact,0.1208198489751887,672.0,5562.0,paper_saved_solution_density,False
0036_Remove_6_upward__goal_0009,124,Remove_6_upward,upward,position,relative_position,0.0003578457684737,2.0,5589.0,paper_saved_solution_density,False
0037_Prevention_5_upward__goal_0035,110,Prevention_5_upward,upward,contact,multi_object_final_contact,0.0350678733031674,93.0,2652.0,paper_saved_solution_density,False
0039_BalanceUnder_3_downward__goal_0015,037,BalanceUnder_3_downward,downward,position,relative_position,0.0009335324869305,5.0,5356.0,paper_saved_solution_density,False
0040_BalanceUnder_3_upward__goal_0066,038,BalanceUnder_3_upward,upward,position,relative_position,0.068521284540702,367.0,5356.0,paper_saved_solution_density,False
0041_BalanceUnder_5_downward__goal_0055,039,BalanceUnder_5_downward,downward,contact,final_contact,0.0048300204347018,26.0,5383.0,paper_saved_solution_density,False
0042_Prevention_3_downward__goal_0028,105,Prevention_3_downward,downward,contact,final_contact,0.022029897718332,56.0,2542.0,paper_saved_solution_density,False
0044_FallingAlt_10_upward__goal_0004,100,FallingAlt_10_upward,upward,position,support_or_surface,0.0002178649237472,1.0,4590.0,paper_saved_solution_density,False
0045_FallingAlt_7_downward__goal_0046,093,FallingAlt_7_downward,downward,position,relative_position,0.1886710239651416,866.0,4590.0,paper_saved_solution_density,False
0047_Prevention_7_downward__goal_0002,111,Prevention_7_downward,downward,orientation,final_orientation,0.0003672420124862,1.0,2723.0,paper_saved_solution_density,False
0049_Remove_7_downward__goal_0059,125,Remove_7_downward,downward,position,relative_position,0.0519433996059466,290.0,5583.0,paper_saved_solution_density,False
0050_FallingAlt_10_upward__goal_0022,100,FallingAlt_10_upward,upward,position,support_or_surface,0.0013071895424836,6.0,4590.0,paper_saved_solution_density,False
0051_Remove_7_downward__goal_0018,125,Remove_7_downward,downward,contact,multi_object_final_contact,0.0010746910263299,6.0,5583.0,paper_saved_solution_density,False
0053_FallingAlt_2_upward__goal_0031,084,FallingAlt_2_upward,upward,position,relative_position,0.0630360205831904,294.0,4664.0,paper_saved_solution_density,False
0056_BackUp_5_upward__goal_0001,008,BackUp_5_upward,upward,contact,transient_contact,0.005978817902289,35.0,5854.0,paper_saved_solution_density,False
0057_FallingAlt_8_upward__goal_0025,096,FallingAlt_8_upward,upward,contact,transient_contact,0.0135578394926743,62.0,4573.0,paper_saved_solution_density,False
0058_Remove_5_downward__goal_0012,121,Remove_5_downward,downward,contact,final_contact,0.0048128342245989,27.0,5610.0,paper_saved_solution_density,False
0060_Basic_9_upward__goal_0002,060,Basic_9_upward,upward,contact,final_contact,0.001353441608662,7.0,5172.0,paper_saved_solution_density,False
0063_Falling_9_upward__goal_0027,078,Falling_9_upward,upward,movement,single_object_movement,0.0223313272093759,141.0,6314.0,paper_saved_solution_density,False
0064_Remove_7_upward__goal_0039,126,Remove_7_upward,upward,containment,container_contact_or_other,0.014866559197564,83.0,5583.0,paper_saved_solution_density,False
0065_BalanceUnder_2_upward__goal_0039,036,BalanceUnder_2_upward,upward,contact,multi_object_final_contact,0.0076228686058174,38.0,4985.0,paper_saved_solution_density,False
0066_Remove_8_downward__goal_0019,127,Remove_8_downward,downward,contact,multi_object_final_contact,0.0116708811515269,60.0,5141.0,paper_saved_solution_density,False
0067_Prevention_1_upward__goal_0007,102,Prevention_1_upward,upward,movement,single_object_movement,0.0079767947788252,22.0,2758.0,paper_saved_solution_density,False
0068_Balance_3_downward__goal_0025,023,Balance_3_downward,downward,position,relative_position,0.1056664290805416,593.0,5612.0,paper_saved_solution_density,False
0070_Remove_10_downward__goal_0013,131,Remove_10_downward,downward,position,support_or_surface,0.004663309084126,25.0,5361.0,paper_saved_solution_density,False
0074_FallingAlt_7_downward__goal_0010,093,FallingAlt_7_downward,downward,position,relative_position,0.0013071895424836,6.0,4590.0,paper_saved_solution_density,False
0076_Falling_6_upward__goal_0018,072,Falling_6_upward,upward,movement,single_object_movement,0.0263118328070966,175.0,6651.0,paper_saved_solution_density,False
0077_BalanceUnder_10_downward__goal_0032,047,BalanceUnder_10_downward,downward,position,relative_position,0.0005335230304108,3.0,5623.0,paper_saved_solution_density,False
